x,y,z,r
0.025,1.6249999999999998,17.0462,0.025
0.075,1.6249999999999998,17.0462,0.025
0.125,1.6249999999999998,17.0462,0.025
0.175,1.6249999999999998,17.0462,0.025
0.22499999999999998,1.6249999999999998,17.0462,0.025
0.27499999999999997,1.6249999999999998,17.0462,0.025
0.325,1.6249999999999998,17.0462,0.025
0.375,1.6249999999999998,17.0462,0.025
0.425,1.6249999999999998,17.0462,0.025
0.475,1.6249999999999998,17.0462,0.025
0.025,1.6749999999999998,17.0462,0.025
0.075,1.6749999999999998,17.0462,0.025
0.125,1.6749999999999998,17.0462,0.025
0.175,1.6749999999999998,17.0462,0.025
0.22499999999999998,1.6749999999999998,17.0462,0.025
0.27499999999999997,1.6749999999999998,17.0462,0.025
0.325,1.6749999999999998,17.0462,0.025
0.375,1.6749999999999998,17.0462,0.025
0.425,1.6749999999999998,17.0462,0.025
0.475,1.6749999999999998,17.0462,0.025
0.025,1.7249999999999999,17.0462,0.025
0.075,1.7249999999999999,17.0462,0.025
0.125,1.7249999999999999,17.0462,0.025
0.175,1.7249999999999999,17.0462,0.025
0.22499999999999998,1.7249999999999999,17.0462,0.025
0.27499999999999997,1.7249999999999999,17.0462,0.025
0.325,1.7249999999999999,17.0462,0.025
0.375,1.7249999999999999,17.0462,0.025
0.425,1.7249999999999999,17.0462,0.025
0.475,1.7249999999999999,17.0462,0.025
0.025,1.7749999999999997,17.0462,0.025
0.075,1.7749999999999997,17.0462,0.025
0.125,1.7749999999999997,17.0462,0.025
0.175,1.7749999999999997,17.0462,0.025
0.22499999999999998,1.7749999999999997,17.0462,0.025
0.27499999999999997,1.7749999999999997,17.0462,0.025
0.325,1.7749999999999997,17.0462,0.025
0.375,1.7749999999999997,17.0462,0.025
0.425,1.7749999999999997,17.0462,0.025
0.475,1.7749999999999997,17.0462,0.025
0.025,1.8249999999999997,17.0462,0.025
0.075,1.8249999999999997,17.0462,0.025
0.125,1.8249999999999997,17.0462,0.025
0.175,1.8249999999999997,17.0462,0.025
0.22499999999999998,1.8249999999999997,17.0462,0.025
0.27499999999999997,1.8249999999999997,17.0462,0.025
0.325,1.8249999999999997,17.0462,0.025
0.375,1.8249999999999997,17.0462,0.025
0.425,1.8249999999999997,17.0462,0.025
0.475,1.8249999999999997,17.0462,0.025
0.025,1.8749999999999998,17.0462,0.025
0.075,1.8749999999999998,17.0462,0.025
0.125,1.8749999999999998,17.0462,0.025
0.175,1.8749999999999998,17.0462,0.025
0.22499999999999998,1.8749999999999998,17.0462,0.025
0.27499999999999997,1.8749999999999998,17.0462,0.025
0.325,1.8749999999999998,17.0462,0.025
0.375,1.8749999999999998,17.0462,0.025
0.425,1.8749999999999998,17.0462,0.025
0.475,1.8749999999999998,17.0462,0.025
0.025,1.9249999999999998,17.0462,0.025
0.075,1.9249999999999998,17.0462,0.025
0.125,1.9249999999999998,17.0462,0.025
0.175,1.9249999999999998,17.0462,0.025
0.22499999999999998,1.9249999999999998,17.0462,0.025
0.27499999999999997,1.9249999999999998,17.0462,0.025
0.325,1.9249999999999998,17.0462,0.025
0.375,1.9249999999999998,17.0462,0.025
0.425,1.9249999999999998,17.0462,0.025
0.475,1.9249999999999998,17.0462,0.025
0.025,1.9749999999999996,17.0462,0.025
0.075,1.9749999999999996,17.0462,0.025
0.125,1.9749999999999996,17.0462,0.025
0.175,1.9749999999999996,17.0462,0.025
0.22499999999999998,1.9749999999999996,17.0462,0.025
0.27499999999999997,1.9749999999999996,17.0462,0.025
0.325,1.9749999999999996,17.0462,0.025
0.375,1.9749999999999996,17.0462,0.025
0.425,1.9749999999999996,17.0462,0.025
0.475,1.9749999999999996,17.0462,0.025
0.025,2.025,17.0462,0.025
0.075,2.025,17.0462,0.025
0.125,2.025,17.0462,0.025
0.175,2.025,17.0462,0.025
0.22499999999999998,2.025,17.0462,0.025
0.27499999999999997,2.025,17.0462,0.025
0.325,2.025,17.0462,0.025
0.375,2.025,17.0462,0.025
0.425,2.025,17.0462,0.025
0.475,2.025,17.0462,0.025
0.025,2.0749999999999997,17.0462,0.025
0.075,2.0749999999999997,17.0462,0.025
0.125,2.0749999999999997,17.0462,0.025
0.175,2.0749999999999997,17.0462,0.025
0.22499999999999998,2.0749999999999997,17.0462,0.025
0.27499999999999997,2.0749999999999997,17.0462,0.025
0.325,2.0749999999999997,17.0462,0.025
0.375,2.0749999999999997,17.0462,0.025
0.425,2.0749999999999997,17.0462,0.025
0.475,2.0749999999999997,17.0462,0.025
0.025,2.1249999999999996,17.0462,0.025
0.075,2.1249999999999996,17.0462,0.025
0.125,2.1249999999999996,17.0462,0.025
0.175,2.1249999999999996,17.0462,0.025
0.22499999999999998,2.1249999999999996,17.0462,0.025
0.27499999999999997,2.1249999999999996,17.0462,0.025
0.325,2.1249999999999996,17.0462,0.025
0.375,2.1249999999999996,17.0462,0.025
0.425,2.1249999999999996,17.0462,0.025
0.475,2.1249999999999996,17.0462,0.025
0.025,2.175,17.0462,0.025
0.075,2.175,17.0462,0.025
0.125,2.175,17.0462,0.025
0.175,2.175,17.0462,0.025
0.22499999999999998,2.175,17.0462,0.025
0.27499999999999997,2.175,17.0462,0.025
0.325,2.175,17.0462,0.025
0.375,2.175,17.0462,0.025
0.425,2.175,17.0462,0.025
0.475,2.175,17.0462,0.025
0.025,2.2249999999999996,17.0462,0.025
